len,ttl,id(new),id(overlap),off(new),off(overlap),sum(new),sum(overlap),ICMP,IGMP,TCP,UDP
1045.867159,80.53136531,1,0,0.007380074,0.992619926,0.926199262,0.073800738,0,0,0.992619926,0.007380074
652.7798165,128,1,0,0.002621232,0.997378768,0.929226737,0.070773263,0,0,0.997378768,0.002621232
356.7142857,96,1,0,0.047619048,0.952380952,0.952380952,0.047619048,0,0,0.952380952,0.047619048
891.7827773,128,1,0,0.00155159,0.99844841,0.842513576,0.157486424,0,0,1,0
956.3305785,128,1,0,0.002754821,0.997245179,0.892561983,0.107438017,0,0,1,0
440.0518868,128,1,0,0.009433962,0.990566038,0.966981132,0.033018868,0,0,0.910377358,0.089622642
630.7961019,128,0.976011994,0.023988006,0.002998501,0.997001499,0.853073463,0.146926537,0,0,0.952023988,0.047976012
54.66666667,128,1,0,0.074074074,0.925925926,0.962962963,0.037037037,0,0,0.777777778,0.222222222
272.5565476,127.2440476,1,0,0.005952381,0.994047619,0.949404762,0.050595238,0,0,0.845238095,0.154761905
693.3324664,128,1,0,0.000866927,0.999133073,0.940615518,0.059384482,0,0,0.901603814,0.098396186
1029.26087,128,1,0,0.003952569,0.996047431,0.998023715,0.001976285,0,0,1,0
178.0490196,94.89215686,0.882352941,0.117647059,0.019607843,0.980392157,0.921568627,0.078431373,0,0,1,0
823.1204344,128,1,0,0.001974334,0.998025666,0.972359329,0.027640671,0,0,0.990128332,0.009871668
619.1487119,128,1,0,0.00234192,0.99765808,0.956674473,0.043325527,0,0,0.988290398,0.011709602
570.3239437,100.8978873,0.926056338,0.073943662,0.007042254,0.992957746,0.940140845,0.059859155,0,0,0.897887324,0.102112676
115.875,128,1,0,0.035714286,0.964285714,0.875,0.125,0,0,0.214285714,0.785714286
668.8674442,127.9871197,0.999797201,0,0.000101399,0.999695802,0.559521395,0.440275806,0,0,0.977235855,0.022561347
956.6411455,128,1,0,0.001168907,0.998831093,0.930450029,0.069549971,0,0,1,0
697.4175655,128,1,0,0.003081664,0.996918336,0.961479199,0.038520801,0,0,1,0
260.5391892,128,1,0,0.002702703,0.997297297,0.983783784,0.016216216,0,0,0.981081081,0.018918919
54.13888889,108.3888889,1,0,0.055555556,0.944444444,0.972222222,0.027777778,0,0,1,0
820.1070423,87.61690141,1,0,0.005633803,0.994366197,0.985915493,0.014084507,0,0,1,0
853.4742268,86.33873343,0.696612666,0.303387334,0.002945508,0.997054492,0.907216495,0.092783505,0,0,1,0
81.58333333,96,1,0,0.083333333,0.916666667,0.916666667,0.083333333,0,0,1,0
68.8,128,1,0,0.066666667,0.933333333,1,0,0,0,0,1
481.482976,95.88020177,0.785624212,0.214375788,0.002522068,0.997477932,0.924337957,0.075662043,0,0,0.983606557,0.016393443
978.7949594,128,1,0,0.000854336,0.999145664,0.927381461,0.072618539,0,0,1,0
269.4772727,54,0.931818182,0.068181818,0.022727273,0.977272727,0.954545455,0.045454545,0,0,1,0
727.0235988,87.41297935,0.994100295,0.005899705,0.005899705,0.994100295,0.985250737,0.014749263,0,0,0.967551622,0.032448378
285.8186528,123.9378238,0.968911917,0.031088083,0.010362694,0.989637306,0.948186528,0.051813472,0,0,0.870466321,0.129533679
932.2013423,128,1,0,0.001677852,0.998322148,0.973154362,0.026845638,0,0,1,0
850.265625,128,0.996875,0.003125,0.002083333,0.997916667,0.9875,0.0125,0,0,1,0
832.0927083,128,0.998958333,0.001041667,0.002083333,0.997916667,0.991666667,0.008333333,0,0,0.983333333,0.016666667
970.3887122,128,1,0,0.001589825,0.998410175,0.992845787,0.007154213,0,0,1,0
512.4486229,128,0.882944915,0.117055085,0.001059322,0.998940678,0.934322034,0.065677966,0,0,1,0
785.0354077,84.61695279,0.990343348,0.009656652,0.002145923,0.997854077,0.982832618,0.017167382,0,0,0.943133047,0.056866953
784.6803279,128,1,0,0.003278689,0.996721311,0.955737705,0.044262295,0,0,1,0
816.3267148,128,1,0,0.001805054,0.998194946,0.893501805,0.106498195,0,0,1,0
1002.829514,128,1,0,0.00091659,0.99908341,0.864344638,0.135655362,0,0,1,0
784.0756063,128,1,0,0.002853067,0.997146933,0.955777461,0.044222539,0,0,1,0
271.8093385,128,1,0,0.000972763,0.999027237,0.986381323,0.013618677,0,0,1,0
754.9693252,128,1,0,0.003067485,0.996932515,0.976993865,0.023006135,0,0,1,0
495.1022727,85.125,0.954545455,0.045454545,0.011363636,0.988636364,0.954545455,0.045454545,0,0,1,0
849.5856918,128,1,0,0.001572327,0.998427673,0.983490566,0.016509434,0,0,1,0
925.3289242,128,1,0,0.000881834,0.999118166,0.937830688,0.062169312,0,0,1,0
